iter	Passed	Remaining
402	12715	18836
403	12742	18798
404	12772	18763
405	12803	18731
406	12832	18697
407	12867	18670
408	12897	18636
409	12927	18603
410	12956	18568
411	12987	18535
412	13013	18495
413	13042	18460
414	13058	18407
415	13092	18379
416	13121	18345
417	13153	18314
418	13185	18283
419	13213	18247
420	13243	18213
421	13279	18188
422	13319	18169
423	13350	18136
424	13384	18108
425	13418	18080
426	13447	18045
427	13481	18016
428	13509	17981
429	13537	17944
430	13566	17910
431	13598	17879
432	13626	17842
433	13655	17809
434	13690	17782
435	13718	17746
436	13745	17709
437	13775	17674
438	13806	17643
439	13837	17610
440	13865	17575
441	13895	17542
442	13922	17504
443	13954	17474
444	13981	17437
445	14012	17405
446	14042	17372
447	14069	17335
448	14098	17301
449	14130	17270
450	14163	17241
451	14195	17210
452	14228	17180
453	14259	17148
454	14289	17116
455	14317	17080
456	14347	17048
457	14382	17019
458	14408	16983
459	14438	16949
460	14467	16914
461	14499	16884
462	14526	16848
463	14557	16816
464	14588	16784
465	14620	16754
466	14668	16741
467	14707	16718
468	14738	16686
469	14773	16659
470	14809	16633
471	14859	16622
472	14900	16601
473	14929	16567
474	14955	16530
475	14987	16498
476	15015	16463
477	15047	16432
478	15087	16410
479	15112	16371
480	15157	16354
481	15189	16324
482	15215	16286
483	15238	16246
484	15263	16207
485	15294	16175
486	15329	16147
487	15360	16115
488	15389	16081
489	15416	16045
490	15442	16008
491	15474	15978
492	15504	15944
493	15530	15908
494	15569	15884
495	15599	15851
496	15627	15816
497	15655	15781
498	15682	15745
499	15708	15708
500	15735	15673
501	15767	15641
502	15794	15605
503	15820	15569
504	15851	15537
505	15884	15507
506	15907	15468
507	15938	15436
508	15970	15405
509	16003	15375
510	16033	15343
511	16064	15311
512	16096	15281
513	16127	15248
514	16161	15220
515	16194	15189
516	16222	15155
517	16253	15123
518	16285	15092
519	16318	15063
520	16348	15030
521	16378	14998
522	16406	14963
523	16437	14931
524	16471	14902
525	16501	14870
526	16529	14835
527	16561	14805
528	16593	14774
529	16623	14741
530	16651	14706
531	16687	14679
532	16723	14652
533	16764	14629
534	16802	14603
535	16845	14582
536	16884	14557
537	16924	14534
538	16965	14510
539	17011	14491
540	17045	14462
541	17079	14432
542	17115	14405
543	17156	14381
544	17193	14353
545	17226	14323
546	17257	14292
547	17282	14255
548	17312	14222
549	17353	14198
550	17388	14169
551	17414	14133
552	17445	14101
553	17468	14063
554	17494	14026
555	17520	13991
556	17546	13955
557	17570	13918
558	17603	13887
559	17627	13850
560	17658	13817
561	17686	13783
562	17718	13753
563	17743	13716
564	17773	13684
565	17802	13650
566	17829	13615
567	17865	13587
568	17909	13565
569	17942	13535
570	17973	13503
571	18007	13474
572	18041	13444
573	18073	13413
574	18106	13383
575	18150	13360
576	18190	13335
577	18227	13308
578	18256	13274
579	18285	13241
580	18312	13206
581	18340	13172
582	18378	13145
583	18419	13120
584	18459	13095
585	18495	13066
586	18541	13045
587	18583	13021
588	18633	13002
589	18668	12972
590	18699	12941
591	18739	12914
592	18773	12884
593	18822	12864
594	18858	12836
595	18894	12807
596	18933	12780
597	18969	12751
598	19005	12723
599	19038	12692
600	19065	12657
601	19092	12622
602	19122	12589
603	19145	12552
604	19174	12518
605	19203	12485
606	19231	12451
607	19264	12420
608	19292	12386
609	19330	12358
610	19368	12330
611	19394	12295
612	19432	12268
613	19463	12236
614	19496	12204
615	19524	12171
616	19559	12141
617	19588	12108
618	19616	12074
619	19645	12040
620	19679	12010
621	19705	11975
622	19736	11943
623	19766	11910
624	19795	11877
625	19828	11846
626	19859	11814
627	19893	11783
628	19924	11751
629	19953	11718
630	19988	11689
631	20018	11656
632	20054	11626
633	20082	11593
634	20116	11562
635	20149	11532
636	20183	11501
637	20216	11470
638	20250	11440
639	20282	11409
640	20314	11377
641	20350	11347
642	20381	11315
643	20409	11282
644	20435	11247
645	20468	11216
646	20498	11184
647	20530	11152
648	20563	11121
649	20594	11089
650	20622	11055
651	20661	11028
652	20694	10996
653	20729	10966
654	20758	10933
655	20793	10903
656	20820	10869
657	20855	10839
658	20886	10807
659	20917	10775
660	20944	10741
661	20981	10712
662	21010	10679
663	21041	10647
664	21074	10616
665	21107	10585
666	21141	10554
667	21171	10522
668	21205	10491
669	21237	10460
670	21269	10428
671	21299	10396
672	21328	10363
673	21357	10330
674	21385	10296
675	21415	10264
676	21438	10228
677	21467	10195
678	21495	10161
679	21521	10127
680	21555	10097
681	21590	10067
682	21631	10039
683	21660	10007
684	21696	9977
685	21728	9945
686	21759	9913
687	21789	9881
688	21816	9847
689	21847	9815
690	21878	9783
691	21909	9751
692	21941	9719
693	21968	9686
694	21999	9654
695	22033	9623
696	22065	9592
697	22093	9559
698	22125	9527
699	22156	9495
700	22187	9463
701	22219	9432
702	22253	9401
703	22285	9370
704	22318	9338
705	22350	9307
706	22377	9273
707	22409	9242
708	22441	9210
709	22472	9178
710	22503	9146
711	22535	9115
712	22568	9084
713	22595	9050
714	22624	9018
715	22657	8987
716	22689	8955
717	22722	8924
718	22756	8893
719	22786	8861
720	22817	8829
721	22849	8797
722	22879	8765
723	22909	8733
724	22937	8700
725	22970	8669
726	23002	8637
727	23036	8607
728	23066	8574
729	23094	8541
730	23122	8508
731	23155	8477
732	23184	8445
733	23211	8411
734	23242	8380
735	23271	8347
736	23303	8315
737	23335	8284
738	23368	8253
739	23396	8220
740	23427	8188
741	23458	8156
742	23493	8126
743	23527	8095
744	23563	8065
745	23597	8034
746	23627	8002
747	23658	7970
748	23687	7938
749	23717	7905
750	23752	7875
751	23789	7845
752	23817	7812
753	23850	7781
754	23883	7750
755	23913	7718
756	23945	7686
757	23978	7655
758	24011	7624
759	24047	7593
760	24076	7561
761	24105	7529
762	24136	7497
763	24168	7465
764	24193	7432
765	24227	7400
766	24260	7369
767	24293	7338
